line,city,special,kind2,cover,blocks_worked,blocks,svc_wd_hit,miss_cell_pct
NP0010026,深圳市,False,区块全开·星期自己定,0.868,9,10,0.751,8.5
NP0010054,成都市,False,区块全开·星期自己定,0.817,5,5,0.745,10.5
NP0010076,呼和浩特市,True,特殊·换人/归属待查,0.462,7,12,0.129,28.0
NP0010123,东莞市,False,区块全开·星期照做,0.871,5,5,0.871,3.4
NP0010161,厦门市,False,区块全开·星期照做,0.924,18,18,0.871,6.1
NP0010177,武汉市,False,区块全开·星期照做,0.889,5,5,0.864,0.0
NP0010210,泰州市,True,特殊·换人/归属待查,0.48,17,24,0.185,32.6
NP0010233,柳州市,False,区块全开·星期自己定,0.727,10,10,0.734,6.7
NP0010236,沧州市,False,区块全开·店和星期都有欠,0.463,10,11,0.275,23.3
NP0010249,上海市,False,区块全开·区块内欠访,0.845,12,12,0.811,7.1
NP0010283,莆田市,False,区块全开·星期照做,0.99,12,12,0.893,0.0
NP0010285,成都市,False,区块缺了没开,0.851,5,6,0.68,16.7
NP0010307,威海市,True,特殊·换人/归属待查,0.442,11,16,0.114,40.6
NP0010323,曲靖市,False,区块全开·星期照做,1.0,10,10,0.973,0.0
NP0010380,泰州市,True,特殊·换人/归属待查,0.283,5,7,0.195,35.7
NP0010444,深圳市,False,区块全开·区块内欠访,0.833,5,5,0.817,0.0
NP0010481,无锡市,False,区块全开·星期照做,0.898,12,12,0.878,4.9
NP0010485,德州市,True,特殊·换人/归属待查,0.139,2,3,0.111,78.6
NP0010486,德州市,True,特殊·换人/归属待查,0.333,2,5,0.067,64.3
NP0010498,广州市,False,区块全开·星期照做,0.995,8,8,0.994,0.0
NP0010660,武汉市,False,区块全开·星期照做,0.893,9,9,0.913,3.1
NP0010665,武汉市,False,区块全开·星期照做,0.931,5,5,0.893,5.6
NP0010670,佛山市,False,区块全开·星期照做,0.899,5,5,0.843,0.0
NP0010674,常州市,False,区块全开·店和星期都有欠,0.715,6,6,0.565,21.4
NP0010683,昆明市,False,区块缺了没开,0.832,5,6,0.299,21.1
NP0010688,成都市,False,区块全开·星期照做,1.0,9,9,0.978,0.0
NP0010748,商丘市,False,区块全开·星期自己定,0.898,12,12,0.712,9.5
NP0010807,清远市,False,区块全开·星期照做,1.0,10,10,0.997,0.0
NP0010842,兰州市,False,区块全开·星期照做,1.0,5,5,0.933,0.0
NP0010891,无锡市,False,区块全开·店和星期都有欠,0.689,5,5,0.65,3.6
NP0010900,青岛市,False,区块全开·店和星期都有欠,0.564,6,6,0.528,10.5
NP0010920,曲靖市,False,区块全开·星期自己定,1.0,9,9,0.754,0.0
NP0010987,滨州市,True,特殊·换人/归属待查,0.277,6,6,0.136,50.0
NP0010989,秦皇岛市,True,特殊·换人/归属待查,0.344,6,14,0.094,47.4
NP0010995,合肥市,False,区块全开·店和星期都有欠,0.467,4,4,0.264,11.1
NP0011002,西安市,False,区块全开·店和星期都有欠,0.457,5,5,0.23,6.2
NP0011031,眉山市,False,区块全开·星期照做,1.0,12,12,0.937,0.0
NP0011048,台州市,False,区块缺了没开,0.706,14,18,0.473,32.4
NP0011053,台州市,False,区块全开·店和星期都有欠,0.574,14,15,0.549,17.1
NP0011086,北京市,True,特殊·换人/归属待查,0.291,5,5,0.22,29.4
NP0011095,武汉市,False,区块全开·店和星期都有欠,0.757,8,8,0.647,0.0
NP0011110,西安市,False,区块全开·星期自己定,0.939,9,10,0.777,8.1
NP0011136,玉林市,False,区块缺了没开,0.92,10,12,0.727,6.7
NP0011145,泰安市,True,特殊·换人/归属待查,0.179,10,15,0.021,54.1
NP0011152,杭州市,False,区块缺了没开,0.479,7,8,0.343,42.9
NP0011171,深圳市,False,区块全开·店和星期都有欠,0.663,6,6,0.664,0.0
NP0011193,芜湖市,False,区块缺了没开,0.57,6,9,0.525,22.2
NP0011290,德州市,True,特殊·换人/归属待查,0.556,4,7,0.024,66.7
NP0011299,合肥市,True,特殊·换人/归属待查,0.0,0,4,0.0,100.0
NP0011348,南宁市,False,区块全开·星期照做,0.874,9,9,0.901,5.9
NP0011350,北京市,False,区块全开·店和星期都有欠,0.34,5,5,0.246,40.0
NP0011376,成都市,False,区块全开·星期自己定,0.923,5,5,0.793,0.0
NP0011405,北京市,True,特殊·换人/归属待查,0.151,4,5,0.049,58.6
NP0011431,北京市,True,特殊·换人/归属待查,0.168,5,6,0.08,44.0
NP0011436,东莞市,False,区块全开·区块内欠访,0.806,6,6,0.83,6.2
NP0011437,西宁市,False,区块全开·星期照做,0.987,6,6,0.99,0.0
NP0011469,宝鸡市,False,区块全开·星期自己定,0.826,9,10,0.594,0.0
NP0011478,苏州市,False,区块缺了没开,0.305,6,8,0.222,51.7
NP0011525,肇庆市,False,区块全开·星期自己定,0.826,17,18,0.752,12.5
NP0011547,厦门市,False,区块全开·店和星期都有欠,0.879,7,7,0.571,7.1
NP0011578,曲靖市,False,区块全开·星期自己定,1.0,4,4,0.25,0.0
NP0011681,北京市,True,特殊·换人/归属待查,0.181,4,5,0.046,69.2
NP0011736,北京市,True,特殊·换人/归属待查,0.25,6,8,0.112,60.0
NP0011803,北京市,True,特殊·换人/归属待查,0.152,5,6,0.06,58.3
NP0011810,宁波市,True,特殊·换人/归属待查,0.151,5,7,0.089,63.2
NP0011816,重庆市,False,区块全开·星期自己定,0.824,5,5,0.755,0.0
NP0011874,佛山市,False,区块全开·店和星期都有欠,0.623,6,6,0.607,9.1
NP0011994,佛山市,False,区块全开·店和星期都有欠,0.75,2,2,0.75,0.0
