line,city,kind,plan_cells,act_cells,miss_cells,miss_cell_pct,blocks,blocks_worked,block_exec_median,svc_wd_hit,cover,sameday,plan_stores,never
NP8800580,上海市,区块全开·星期自己定,7,7,0,0.0,3,3,1.0,0.767,0.842,0.842,19,3
NP8800589,邯郸市,区块缺了没开,31,24,7,22.6,17,15,0.417,0.346,0.416,0.153,137,80
NP8800592,温州市,区块全开·店和星期都有欠,22,18,4,18.2,5,5,0.75,0.449,0.718,0.398,202,57
NP8800607,乐山市,区块全开·星期自己定,2,2,0,0.0,2,2,1.0,0.445,1.0,1.0,13,0
NP8800609,苏州市,区块缺了没开,31,22,9,29.0,8,6,0.696,0.55,0.743,0.696,206,53
NP8800613,泰州市,区块大面积没开工,40,17,23,57.5,12,7,0.064,0.134,0.3,0.217,203,142
NP8800630,天津市,区块全开·店和星期都有欠,44,38,6,13.6,14,13,0.734,0.039,0.653,0.027,193,67
NP8800632,乌鲁木齐市,区块全开·星期照做,5,5,0,0.0,2,2,1.0,0.916,1.0,1.0,24,0
NP8800638,聊城市,计划与实际几乎不相交,33,11,22,66.7,10,7,0.136,0.1,0.115,0.087,252,223
NP8800645,兰州市,区块全开·星期自己定,6,6,0,0.0,5,5,1.0,0.581,1.0,1.0,39,0
NP8800649,重庆市,区块全开·星期自己定,11,11,0,0.0,7,7,1.0,0.403,0.964,0.964,28,1
NP8800651,广州市,区块全开·星期照做,9,9,0,0.0,5,5,0.955,0.964,0.961,0.965,230,9
NP8800664,西安市,区块缺了没开,21,18,3,14.3,9,8,0.804,0.669,0.715,0.681,256,73
NP8800679,南宁市,区块全开·星期照做,23,20,3,13.0,7,7,0.921,0.814,0.851,0.848,261,39
NP8800682,杭州市,区块全开·区块内欠访,22,22,0,0.0,5,5,0.848,0.885,0.879,0.872,199,24
NP8800686,天津市,区块缺了没开,39,33,6,15.4,16,13,0.686,0.151,0.627,0.016,158,59
NP8800691,广州市,区块全开·星期照做,59,58,1,1.7,6,6,0.935,0.921,0.922,0.93,243,19
NP8800694,合肥市,区块全开·星期照做,20,18,2,10.0,6,6,0.912,0.877,0.862,0.88,145,20
NP8800696,西安市,区块全开·星期照做,33,30,3,9.1,7,7,0.974,0.914,0.934,0.929,228,15
NP8800706,130500,区块大面积没开工,15,9,6,40.0,9,5,0.455,0.083,0.491,0.091,55,28
NP8800711,聊城市,计划与实际几乎不相交,7,3,4,57.1,3,2,0.25,0.0,0.261,0.0,23,17
NP8800715,菏泽市,区块全开·星期照做,37,37,0,0.0,12,12,1.0,0.935,0.937,0.937,223,14
NP8800722,沈阳市,区块全开·店和星期都有欠,15,11,4,26.7,5,5,0.714,0.603,0.667,0.5,72,24
NP8800736,渭南市,区块全开·店和星期都有欠,5,3,2,40.0,2,2,0.818,0.0,0.75,0.312,16,4
NP8800744,,区块全开·星期照做,5,5,0,0.0,5,5,1.0,0.992,1.0,1.0,66,0
NP8800760,沧州市,区块缺了没开,27,16,11,40.7,14,9,0.291,0.134,0.356,0.194,208,134
NP8800763,成都市,区块全开·星期自己定,8,8,0,0.0,4,4,1.0,0.75,1.0,1.0,34,0
NP8800765,嘉兴市,区块全开·星期照做,14,14,0,0.0,8,8,1.0,0.826,0.972,0.972,36,1
NP8800768,苏州市,计划与实际几乎不相交,34,6,28,82.4,13,5,0.0,0.099,0.142,0.129,240,206
NP8800784,珠海市,区块全开·星期照做,30,29,1,3.3,11,11,1.0,0.978,0.976,0.974,207,5
NP8800795,渭南市,区块缺了没开,9,6,3,33.3,6,4,1.0,0.468,0.914,0.914,70,6
